Application,Server,ID,Release_Date,Benchmark,Version1,Status1,Version1_Finding_Details,Version2,Status2,Version2_Finding_Details,T/F,TRUE/FALSE
application A,server A,AC-01,2020-21-05,DOT NET,version1,Open,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Open,Findings A,FALSE,FALSE
application A,server A,AC-02,2020-21-05,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not Reviewed,Findings B,FALSE,FALSE
application A,server A,AC-03,2020-21-05,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not Reviewed,Findings C,FALSE,FALSE
application A,server A,AC-04,2020-21-05,DOT NET,version1,Not Reviewed,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings D,FALSE,FALSE
application A,server A,AC-05,2020-21-05,DOT NET,version1,Not Reviewed,Findings A,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-06,2020-21-05,IE11,version1,Not Reviewed,Findings B,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-07,2020-21-05,IE11,version1,Not Applicable,Findings C,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-08,2020-21-05,IE11,version1,Not Applicable,Findings D,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,FALSE,FALSE
application A,server A,AC-09,2020-21-05,IE11,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-10,2020-21-05,IE11,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-11,2020-21-05,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-12,2020-21-05,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server A,AC-13,2020-21-05,Windows2012,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,TRUE,TRUE
application A,server B,AC-14,2020-21-05,DOT NET,version1,Not Applicable,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings A,FALSE,FALSE
application A,server B,AC-15,2020-21-05,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings B,FALSE,FALSE
application A,server B,AC-16,2020-21-05,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings C,FALSE,FALSE
application A,server B,AC-17,2020-21-05,DOT NET,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings D,FALSE,FALSE
application A,server B,AC-18,2020-21-05,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings E,FALSE,FALSE
application A,server B,AC-19,2020-21-05,IE11,version1,Not a Finding,No finding details were detected during scan. This checklist passed the security test because no finding details were found during the security scan.,version2,Not a Finding,Findings F,FALSE,FALSE
